Fund ID,Department ID,Program ID,Account ID,Fund Name,Department,Description,2013 Actual,2014 Actual,2015 Actual
1001,41030,101,510501,General Fund,Adjudication,Regular Salaries,"-186,441","-167,502","-191,603"
1001,41030,101,510503,General Fund,Adjudication,Overtime,"-7,034","-5,492","-7,032"
1001,41030,101,510519,General Fund,Adjudication,Vacation Time Payout,‐,-190,‐
1001,41030,101,520515,General Fund,Adjudication,Health Insurance Opt Out,"-2,407","-2,407","-2,307"
1001,41030,101,520520,General Fund,Adjudication,Life Insurance Expense,-166,-147,-198
1001,41030,101,520521,General Fund,Adjudication,Health Insurance Expense,"-21,038","-18,470","-24,225"
1001,41030,101,520522,General Fund,Adjudication,Social Security Expense,"-11,544","-10,326","-11,744"
1001,41030,101,520523,General Fund,Adjudication,Medicare Expense,"-2,700","-2,415","-2,747"
1001,41030,101,520527,General Fund,Adjudication,IMRF Contributions,"-28,285","-26,681","-28,474"
1001,41030,101,530650,General Fund,Adjudication,Conferences Training,-187,-618,"-2,022"
1001,41030,101,530658,General Fund,Adjudication,Temporary Services,"-1,025","-23,709","-5,225"
1001,41030,101,530667,General Fund,Adjudication,External Support,"-169,998","-191,163","-166,030"
1001,41030,101,530675,General Fund,Adjudication,Bank Charges,‐,‐,-85
1001,41030,101,550601,General Fund,Adjudication,Printing,-798,‐,-747
1001,41030,101,550602,General Fund,Adjudication,Membership Dues,-92,-55,‐
1001,41030,101,550603,General Fund,Adjudication,Postage,"-24,110","-23,175","-23,199"
1001,41030,101,550605,General Fund,Adjudication,Travel & Mileage Reimbursement,-27,‐,‐
1001,41030,101,550606,General Fund,Adjudication,Books & Subscriptions,‐,-219,-542
1001,41030,101,550652,General Fund,Adjudication,Legal Postings and Doc. Fees,‐,‐,‐
1001,41030,101,550663,General Fund,Adjudication,Software License Updates,"-2,648",-450,"-4,676"
1001,41030,101,550671,General Fund,Adjudication,Office Machine Service,"-2,619",‐,‐
1001,41030,101,560620,General Fund,Adjudication,Office Supplies,"-4,194","-4,294","-1,238"
1001,41030,101,560631,General Fund,Adjudication,Operational Supplies,-63,-11,‐
1001,41030,101,560638,General Fund,Adjudication,Special Events,-315,-37,-53
1001,41020,101,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,"-453,682","-465,083","-430,185"
1001,41020,101,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,‐,‐,‐
1001,41020,101,510502,General Fund,Village Manager's Office (VMO),Merit Incentives,‐,‐,‐
1001,41020,101,510503,General Fund,Village Manager's Office (VMO),Overtime,-116,-87,-165
1001,41020,101,510506,General Fund,Village Manager's Office (VMO),"Equip Allow (Auto,Phone,Tools)","-1,261","-1,204","-1,154"
1001,41020,101,510519,General Fund,Village Manager's Office (VMO),Vacation Time Payout,‐,"-8,655","-5,811"
1001,41020,101,510999,General Fund,Village Manager's Office (VMO),Grant Admin. ‐ Salaries,‐,‐,"15,363"
1001,41020,101,520520,General Fund,Village Manager's Office (VMO),Life Insurance Expense,-308,-706,-814
1001,41020,101,520521,General Fund,Village Manager's Office (VMO),Health Insurance Expense,"-76,987","-79,270","-77,302"
1001,41020,101,520522,General Fund,Village Manager's Office (VMO),Social Security Expense,"-24,876","-25,887","-22,314"
1001,41020,101,520523,General Fund,Village Manager's Office (VMO),Medicare Expense,"-6,275","-6,561","-6,109"
1001,41020,101,520527,General Fund,Village Manager's Office (VMO),IMRF Contributions,"-65,528","-71,947","-61,804"
1001,41020,101,560651,General Fund,Village Manager's Office (VMO),Employees Awards Recognition,"-4,952","-5,682","-10,059"
1001,41020,101,530650,General Fund,Village Manager's Office (VMO),Conferences Training,"-6,383","-9,164","-4,513"
1001,41020,101,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,-141,‐,"-1,979"
1001,41020,332,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,‐,‐,-451
1001,41020,795,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,‐,‐,-150
1001,41020,101,530667,General Fund,Village Manager's Office (VMO),External Support,"-178,285","-225,177","-521,782"
1001,41020,332,530667,General Fund,Village Manager's Office (VMO),External Support,‐,‐,‐
1001,41020,101,530687,General Fund,Village Manager's Office (VMO),Township Interventionist Program,"-30,837",‐,"-48,314"
1001,41020,101,550601,General Fund,Village Manager's Office (VMO),Printing,-918,"-2,124",-569
1001,41020,101,550602,General Fund,Village Manager's Office (VMO),Membership Dues,"-31,839","-29,546","-26,601"
1001,41020,101,550603,General Fund,Village Manager's Office (VMO),Postage,-372,-823,-766
1001,41020,332,550603,General Fund,Village Manager's Office (VMO),Postage,‐,‐,-35
1001,41020,101,550605,General Fund,Village Manager's Office (VMO),Travel & Mileage Reimbursement,-197,"-15,000",-62
1001,41020,101,550606,General Fund,Village Manager's Office (VMO),Books & Subscriptions,-749,-886,-496
1001,41020,332,550652,General Fund,Village Manager's Office (VMO),Legal Postings and Doc. Fees,‐,‐,-171
1001,41020,101,550689,General Fund,Village Manager's Office (VMO),Operational Mainten Support,‐,-144,-149
1001,41020,314,550689,General Fund,Village Manager's Office (VMO),Operational Mainten Support,‐,"-1,550",‐
1001,41020,101,560616,General Fund,Village Manager's Office (VMO),Toner Cartridges,‐,-317,"-1,474"
1001,41020,101,560620,General Fund,Village Manager's Office (VMO),Office Supplies,"-1,806","-3,109","-1,897"
1001,41020,101,560625,General Fund,Village Manager's Office (VMO),Clothing,‐,"-1,548",‐
1001,41020,101,560631,General Fund,Village Manager's Office (VMO),Operational Supplies,‐,-425,‐
1001,41020,101,560638,General Fund,Village Manager's Office (VMO),Special Events,"-1,028","-4,208","-5,950"
1001,41020,101,560670,General Fund,Village Manager's Office (VMO),Equipment Rental,"-4,594","-1,388",‐
1001,41020,101,570720,General Fund,Village Manager's Office (VMO),Computer Equipment,‐,‐,‐
1001,41020,101,591256,General Fund,Village Manager's Office (VMO),Meeting Expenses,‐,-48,‐
1001,41110,101,510501,General Fund,Communication,Regular Salaries,"-212,152","-213,427","-213,809"
1001,41110,101,510506,General Fund,Communication,"Equip Allow (Auto,Phone,Tools)",‐,-475,-460
1001,41110,101,510999,General Fund,Communication,Grant Admin. ‐ Salaries,882,"3,153",617
1001,41110,101,520520,General Fund,Communication,Life Insurance Expense,-126,-166,-208
1001,41110,101,520521,General Fund,Communication,Health Insurance Expense,"-41,046","-42,960","-51,463"
1001,41110,101,520522,General Fund,Communication,Social Security Expense,"-12,495","-12,535","-12,562"
1001,41110,101,520523,General Fund,Communication,Medicare Expense,"-2,922","-2,932","-2,938"
1001,41110,101,520527,General Fund,Communication,IMRF Contributions,"-30,635","-32,408","-30,297"
1001,41110,101,530650,General Fund,Communication,Conferences Training,‐,-400,-25
1001,41110,101,530660,General Fund,Communication,General Contractuals,"-19,724",-840,‐
1001,41110,113,530660,General Fund,Communication,General Contractuals,"-2,940",‐,‐
1001,41110,101,530667,General Fund,Communication,External Support,"-36,220","-68,346","-41,189"
1001,41110,113,530667,General Fund,Communication,External Support,‐,-695,-793
1001,41110,101,550601,General Fund,Communication,Printing,"-31,347","-31,060","-27,378"
1001,41110,113,550601,General Fund,Communication,Printing,-60,‐,‐
1001,41110,101,550602,General Fund,Communication,Membership Dues,‐,‐,-230
1001,41110,113,550602,General Fund,Communication,Membership Dues,‐,-465,‐
1001,41110,101,550603,General Fund,Communication,Postage,"-29,222","-34,611","-35,452"
1001,41110,101,550605,General Fund,Communication,Travel & Mileage Reimbursement,‐,‐,-9
1001,41110,101,550606,General Fund,Communication,Books & Subscriptions,‐,‐,‐
1001,41110,101,550666,General Fund,Communication,Public Information Promotions,"-2,850",-918,"-3,934"
1001,41110,101,560616,General Fund,Communication,Toner Cartridges,‐,-75,‐
1001,41110,101,560620,General Fund,Communication,Office Supplies,-41,-66,-180
1001,41110,101,560631,General Fund,Communication,Operational Supplies,‐,-88,-693
1001,41110,113,560631,General Fund,Communication,Operational Supplies,-904,"-1,158",‐
1001,41110,101,570710,General Fund,Communication,Equipment,‐,‐,‐
1001,41110,101,570711,General Fund,Communication,Software,‐,‐,‐
1001,41110,101,570720,General Fund,Communication,Computer Equipment,‐,‐,‐
1001,41080,101,510501,General Fund,HR ‐ Human Resources,Regular Salaries,"-29,801","-135,115","-102,009"
1001,41080,131,510501,General Fund,HR ‐ Human Resources,Regular Salaries,"-47,999","-4,255","-4,267"
1001,41080,133,510501,General Fund,HR ‐ Human Resources,Regular Salaries,"-21,742","-4,255","-4,267"
