"Fund ID","Department ID","Program ID","Account ID","Fund","Department","Description","Actuals 2016","Actuals 2017"
1001,41030,101,510501,"General Fund","Adjudication","Regular Salaries","-196,645","-191,417"
1001,41030,101,510503,"General Fund","Adjudication","Overtime","-5,801","-7,636"
1001,41030,101,520515,"General Fund","Adjudication","Health Insurance Opt Out",36,"-"
1001,41030,101,520520,"General Fund","Adjudication","Life Insurance Expense",-273,-279
1001,41030,101,520521,"General Fund","Adjudication","Health Insurance Expense","-50,299","-46,429"
1001,41030,101,520522,"General Fund","Adjudication","Social Security Expense","-11,459","-11,187"
1001,41030,101,520523,"General Fund","Adjudication","Medicare Expense","-2,680","-2,616"
1001,41030,101,520527,"General Fund","Adjudication","IMRF Contributions","-28,681","-27,453"
1001,41030,101,530650,"General Fund","Adjudication","Conferences Training",-369,-457
1001,41030,101,530658,"General Fund","Adjudication","Temporary Services","-","-12,692"
1001,41030,101,530660,"General Fund","Adjudication","General Contractuals",-10,"-"
1001,41030,101,530667,"General Fund","Adjudication","External Support","-166,723","-163,588"
1001,41030,101,550601,"General Fund","Adjudication","Printing",-41,-264
1001,41030,101,550602,"General Fund","Adjudication","Membership Dues","-",-61
1001,41030,101,550603,"General Fund","Adjudication","Postage","-18,978","-20,999"
1001,41030,101,550606,"General Fund","Adjudication","Books & Subscriptions",-286,-351
1001,41030,101,550652,"General Fund","Adjudication","Legal Postings and Doc. Fees","-","-1,125"
1001,41030,101,550663,"General Fund","Adjudication","Software License Updates",-755,-640
1001,41030,101,560620,"General Fund","Adjudication","Office Supplies","-3,481","-2,280"
1001,41030,134,560639,"General Fund","Adjudication","Advertising",-43,-31
1001,41020,101,510501,"General Fund","Village Manager's Office (VMO)","Regular Salaries","-393,251","-417,050"
1001,41020,101,510503,"General Fund","Village Manager's Office (VMO)","Overtime",-119,-188
1001,41020,101,510506,"General Fund","Village Manager's Office (VMO)","Equip Allow (Auto,Phone,Tools)","-1,207","-2,163"
1001,41020,101,520515,"General Fund","Village Manager's Office (VMO)","Health Insurance Opt-out","-","-1,036"
1001,41020,101,520520,"General Fund","Village Manager's Office (VMO)","Life Insurance Expense",-273,-465
1001,41020,101,520521,"General Fund","Village Manager's Office (VMO)","Health Insurance Expense","-73,201","-67,570"
1001,41020,101,520522,"General Fund","Village Manager's Office (VMO)","Social Security Expense","-20,020","-21,726"
1001,41020,101,520523,"General Fund","Village Manager's Office (VMO)","Medicare Expense","-5,476","-5,841"
1001,41020,101,520527,"General Fund","Village Manager's Office (VMO)","IMRF Contributions","-55,741","-58,838"
1001,41020,101,560651,"General Fund","Village Manager's Office (VMO)","Employees Awards Recognition","-10,606","-9,498"
1001,41020,101,530650,"General Fund","Village Manager's Office (VMO)","Conferences Training","-11,112","-4,812"
1001,41020,101,530651,"General Fund","Village Manager's Office (VMO)","Incentives",-220,"-"
1001,41020,101,530662,"General Fund","Village Manager's Office (VMO)","Boards Commissions Support","-4,313","-22,745"
1001,41020,103,530662,"General Fund","Village Manager's Office (VMO)","Boards Commissions Support",-90,"-"
1001,41020,321,530662,"General Fund","Village Manager's Office (VMO)","Boards Commissions Support",-465,-20
1001,41020,332,530662,"General Fund","Village Manager's Office (VMO)","Boards Commissions Support","-5,168",0
1001,41020,101,530667,"General Fund","Village Manager's Office (VMO)","External Support","-299,355","-397,676"
1001,41020,101,530687,"General Fund","Village Manager's Office (VMO)","Township Interventionist Program","-","-32,891"
1001,41020,101,550601,"General Fund","Village Manager's Office (VMO)","Printing",-30,"-"
1001,41020,101,550602,"General Fund","Village Manager's Office (VMO)","Membership Dues","-42,661","-30,973"
1001,41020,101,550603,"General Fund","Village Manager's Office (VMO)","Postage",-929,-195
1001,41020,101,550605,"General Fund","Village Manager's Office (VMO)","Travel & Mileage Reimbursement",-25,-157
1001,41020,101,550606,"General Fund","Village Manager's Office (VMO)","Books & Subscriptions",-269,-625
1001,41020,101,560616,"General Fund","Village Manager's Office (VMO)","Toner Cartridges","-1,237","-"
1001,41020,101,560620,"General Fund","Village Manager's Office (VMO)","Office Supplies","-3,384","-3,376"
1001,41020,101,560625,"General Fund","Village Manager's Office (VMO)","Clothing","-",-882
1001,41020,101,560638,"General Fund","Village Manager's Office (VMO)","Special Events","-8,829","-1,348"
1001,41110,101,510501,"General Fund","Communication","Regular Salaries","-207,204","-232,650"
1001,41110,101,510506,"General Fund","Communication","Equip Allow (Auto,Phone,Tools)",-339,-505
1001,41110,101,520515,"General Fund","Communication","Health Insurance Opt Out","-1,150","-2,407"
1001,41110,101,520520,"General Fund","Communication","Life Insurance Expense",-182,-279
1001,41110,101,520521,"General Fund","Communication","Health Insurance Expense","-36,304","-47,973"
1001,41110,101,520522,"General Fund","Communication","Social Security Expense","-12,346","-13,968"
1001,41110,101,520523,"General Fund","Communication","Medicare Expense","-2,887","-3,267"
1001,41110,101,520527,"General Fund","Communication","IMRF Contributions","-29,524","-33,082"
1001,41110,101,530650,"General Fund","Communication","Conferences Training",-829,-74
1001,41110,101,530660,"General Fund","Communication","General Contractuals","-34,882","-29,118"
1001,41110,113,530660,"General Fund","Communication","General Contractuals",-322,-962
1001,41110,101,530667,"General Fund","Communication","External Support","-10,564","-13,797"
1001,41110,113,530667,"General Fund","Communication","External Support","-",-54
1001,41110,101,550601,"General Fund","Communication","Printing","-31,197","-35,255"
1001,41110,101,550602,"General Fund","Communication","Membership Dues",-500,"-1,894"
1001,41110,101,550603,"General Fund","Communication","Postage","-36,215","-35,825"
1001,41110,101,550605,"General Fund","Communication","Travel & Mileage Reimbursement","-","-"
1001,41110,101,550606,"General Fund","Communication","Books & Subscriptions",-117,-377
1001,41110,111,550663,"General Fund","Communication","Software License Update","-","-"
1001,41110,101,550666,"General Fund","Communication","Public Information Promotions","-2,058","-2,169"
1001,41110,101,560620,"General Fund","Communication","Office Supplies",-29,-340
1001,41110,101,560631,"General Fund","Communication","Operational Supplies","-",-990
1001,41110,113,560631,"General Fund","Communication","Operational Supplies","-1,845",-283
1001,41110,135,560631,"General Fund","Communication","Operational Supplies",-60,"-"
1001,41110,101,570710,"General Fund","Communication","Equipment","-7,030","-14,969"
1001,41110,101,570711,"General Fund","Communication","Software","-",-252
1001,41110,101,570720,"General Fund","Communication","Computer Equipment",-555,"-"
1001,41080,101,510501,"General Fund","HR - Human Resources","Regular Salaries","-124,832","-305,873"
1001,41080,131,510501,"General Fund","HR - Human Resources","Regular Salaries","-3,157","-"
1001,41080,133,510501,"General Fund","HR - Human Resources","Regular Salaries","-3,157","-"
1001,41080,134,510501,"General Fund","HR - Human Resources","Regular Salaries","-3,157","-"
1001,41080,135,510501,"General Fund","HR - Human Resources","Regular Salaries","-3,154","-"
1001,41080,101,510503,"General Fund","HR - Human Resources","Overtime","-",-72
1001,41080,101,510519,"General Fund","HR - Human Resources","Vacation Time Payout","-4,264","-"
1001,41080,101,510506,"General Fund","HR - Human Resources","Equip Allow (Auto,Phone,Tools)",-223,-505
1001,41080,101,520505,"General Fund","HR - Human Resources","Tuition Reimbursement",-835,"-3,212"
1001,41080,101,520515,"General Fund","HR - Human Resources","Health Insurance Opt Out",-950,"-2,107"
1001,41080,135,520515,"General Fund","HR - Human Resources","Health Insurance Opt Out","-1,764","-"
1001,41080,101,520520,"General Fund","HR - Human Resources","Life Insurance Expense",-55,-465
1001,41080,131,520520,"General Fund","HR - Human Resources","Life Insurance Expense",-9,"-"
1001,41080,133,520520,"General Fund","HR - Human Resources","Life Insurance Expense",-9,"-"
1001,41080,134,520520,"General Fund","HR - Human Resources","Life Insurance Expense",-9,"-"
1001,41080,135,520520,"General Fund","HR - Human Resources","Life Insurance Expense",-9,"-"
1001,41080,101,520521,"General Fund","HR - Human Resources","Health Insurance Expense","-","-75,363"
1001,41080,101,520522,"General Fund","HR - Human Resources","Social Security Expense","-7,769","-17,863"
