Fund ID,Department ID,Program ID,Account ID,Fund,Department,Description,Actuals 2018,Actuals 2019,Estimates 2020,Estimates 2021
1001,41030,101,510501,General Fund,Adjudication,Regular Salaries,"-205,481","-217,719","-228,328","-215,680"
1001,41030,101,510503,General Fund,Adjudication,Overtime,"-9,592","-12,608","-10,000","-10,000"
1001,41030,101,520515,General Fund,Adjudication,Health Insurance Opt Out,‐,,‐,‐
1001,41030,101,520520,General Fund,Adjudication,Life Insurance Expense,-294,-281,-279,-279
1001,41030,101,520521,General Fund,Adjudication,Health Insurance Expense,"-56,255","-54,299","-53,691","-56,223"
1001,41030,101,520522,General Fund,Adjudication,Social Security Expense,"-12,080","-13,014","-14,781","-13,997"
1001,41030,101,520523,General Fund,Adjudication,Medicare Expense,"-2,825","-3,044","-3,456","-3,272"
1001,41030,101,520527,General Fund,Adjudication,IMRF Contributions,"-21,245","-14,629","-20,151","-18,041"
1001,41030,101,530650,General Fund,Adjudication,Conferences Training,-679,-326,"-2,000","-2,000"
1001,41030,101,530658,General Fund,Adjudication,Temporary Services,‐,‐,‐,
1001,41030,101,530660,General Fund,Adjudication,General Contractuals,‐,‐,‐,
1001,41030,101,530667,General Fund,Adjudication,External Support,"-146,139","-159,036","-186,100","-159,100"
1001,41030,101,550601,General Fund,Adjudication,Printing,-464,"-5,384","-6,000","-6,000"
1001,41030,101,550602,General Fund,Adjudication,Membership Dues,‐,‐,‐,
1001,41030,101,550603,General Fund,Adjudication,Postage,"-23,635","-11,633","-30,000","-30,000"
1001,41030,101,550606,General Fund,Adjudication,Books & Subscriptions,-366,-817,"-1,760","-1,760"
1001,41030,101,550652,General Fund,Adjudication,Legal Postings and Doc. Fees,-187,-92,"-1,000","-1,000"
1001,41030,101,550663,General Fund,Adjudication,Software License Updates,"-5,188",-350,"-6,000","-6,000"
1001,41030,101,560620,General Fund,Adjudication,Office Supplies,"-4,952","-3,647","-6,100","-4,000"
1001,41030,101,570720,General Fund,Adjudication,Computer Equipment,‐,‐,"-2,000",
1001,41030,134,560639,General Fund,Adjudication,Advertising,‐,‐,‐,
1001,41020,101,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,"-450,262","-464,258","-466,424","-593,725"
1001,41020,101,510503,General Fund,Village Manager's Office (VMO),Overtime,-152,-139,-500,-500
1001,41020,101,510506,General Fund,Village Manager's Office (VMO),"Equip Allow (Auto,Phone,Tools)","-1,215","-1,209","-1,215","-1,215"
1001,41020,101,520515,General Fund,Village Manager's Office (VMO),Health Insurance Opt‐out,"-1,504",,‐,‐
1001,41020,101,520520,General Fund,Village Manager's Office (VMO),Life Insurance Expense,"-1,012",-913,-908,"-1,001"
1001,41020,101,520521,General Fund,Village Manager's Office (VMO),Health Insurance Expense,"-58,907","-74,833","-64,757","-96,624"
1001,41020,101,520522,General Fund,Village Manager's Office (VMO),Social Security Expense,"-22,843","-23,200","-23,165","-30,950"
1001,41020,101,520523,General Fund,Village Manager's Office (VMO),Medicare Expense,"-6,347","-6,453","-6,770","-8,616"
1001,41020,101,520527,General Fund,Village Manager's Office (VMO),IMRF Contributions,"-44,624","-30,131","-41,136","-49,558"
1001,41020,101,560651,General Fund,Village Manager's Office (VMO),Employees Awards Recognition,"-7,926","-12,400","-9,500","-8,000"
1001,41020,101,530650,General Fund,Village Manager's Office (VMO),Conferences Training,"-7,581","-8,422","-9,000","-6,500"
1001,41020,101,530651,General Fund,Village Manager's Office (VMO),Incentives,‐,,‐,‐
1001,41020,101,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,"-5,937","-18,268","-18,000","-15,000"
1001,41020,103,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,‐,‐,‐,
1001,41020,321,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,‐,‐,‐,
1001,41020,332,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,‐,‐,‐,
1001,41020,101,530667,General Fund,Village Manager's Office (VMO),External Support,"-370,238","-472,830","-413,816","-389,716"
1001,41020,101,530687,General Fund,Village Manager's Office (VMO),Township Interventionist Program,‐,,‐,
1001,41020,101,550601,General Fund,Village Manager's Office (VMO),Printing,-41,-41,"-3,500","-3,000"
1001,41020,101,550602,General Fund,Village Manager's Office (VMO),Membership Dues,"-32,000","-13,815","-30,700","-34,500"
1001,41020,101,550603,General Fund,Village Manager's Office (VMO),Postage,-158,-133,-700,-400
1001,41020,101,550605,General Fund,Village Manager's Office (VMO),Travel & Mileage Reimbursement,-65,-87,-150,-50
1001,41020,101,550606,General Fund,Village Manager's Office (VMO),Books & Subscriptions,-119,-413,-300,-150
1001,41020,101,560616,General Fund,Village Manager's Office (VMO),Toner Cartridges,‐,,‐,
1001,41020,101,560620,General Fund,Village Manager's Office (VMO),Office Supplies,"-3,261","-4,570","-5,000","-4,000"
1001,41020,101,560625,General Fund,Village Manager's Office (VMO),Clothing,-571,-436,"-1,000",
1001,41020,101,560638,General Fund,Village Manager's Office (VMO),Special Events,"-2,115","-5,956","-6,000","-4,500"
1001,41110,101,510501,General Fund,Communication,Regular Salaries,"-238,541","-262,790","-271,534","-269,650"
1001,41110,101,510503,General Fund,Communication,Overtime,‐,-7,‐,‐
1001,41110,101,510506,General Fund,Communication,"Equip Allow (Auto,Phone,Tools)",-505,-505,-504,-504
1001,41110,101,520515,General Fund,Communication,Health Insurance Opt Out,"-2,407",,‐,‐
1001,41110,101,520520,General Fund,Communication,Life Insurance Expense,-294,-328,-279,-279
1001,41110,101,520521,General Fund,Communication,Health Insurance Expense,"-36,246","-38,471","-37,644","-37,644"
1001,41110,101,520522,General Fund,Communication,Social Security Expense,"-13,988","-15,557","-16,835","-16,718"
1001,41110,101,520523,General Fund,Communication,Medicare Expense,"-3,271","-3,638","-3,937","-3,910"
1001,41110,101,520527,General Fund,Communication,IMRF Contributions,"-23,792","-15,845","-21,880","-20,556"
1001,41110,101,530650,General Fund,Communication,Conferences Training,‐,,‐,"-1,100"
1001,41110,101,530660,General Fund,Communication,General Contractuals,"-32,925","-34,764","-87,100","-58,000"
1001,41110,113,530660,General Fund,Communication,General Contractuals,‐,‐,‐,
1001,41110,101,530667,General Fund,Communication,External Support,"-6,765","-8,706","-11,200","-9,500"
1001,41110,113,530667,General Fund,Communication,External Support,‐,‐,‐,
1001,41110,101,550601,General Fund,Communication,Printing,"-17,350","-22,015","-24,500","-23,000"
1001,41110,101,550602,General Fund,Communication,Membership Dues,‐,‐,"-1,100",‐
1001,41110,101,550603,General Fund,Communication,Postage,"-24,225","-19,345","-27,300","-27,800"
1001,41110,101,550605,General Fund,Communication,Travel & Mileage Reimbursement,‐,‐,-50,-50
1001,41110,101,550606,General Fund,Communication,Books & Subscriptions,-491,-500,-500,-500
1001,41110,101,550666,General Fund,Communication,Public Information Promotions,‐,‐,‐,
1001,41110,101,560620,General Fund,Communication,Office Supplies,-363,-201,-400,-400
