Fund ID,Department ID,Program ID,Account ID,Fund,Department,Description,Estimates 2022
1001,41030,101,510501,General Fund,Adjudication,Regular Salaries,"-236,087"
1001,41030,101,510503,General Fund,Adjudication,Overtime,"-10,000"
1001,41030,101,520515,General Fund,Adjudication,Health Insurance Opt Out,-
1001,41030,101,520520,General Fund,Adjudication,Life Insurance Expense,-279
1001,41030,101,520521,General Fund,Adjudication,Health Insurance Expense,"-40,913"
1001,41030,101,520522,General Fund,Adjudication,Social Security Expense,"-14,637"
1001,41030,101,520523,General Fund,Adjudication,Medicare Expense,"-3,423"
1001,41030,101,520527,General Fund,Adjudication,IMRF Contributions,"-12,580"
1001,41030,101,530650,General Fund,Adjudication,Conferences Training,"-2,000"
1001,41030,101,530658,General Fund,Adjudication,Temporary Services,-
1001,41030,101,530660,General Fund,Adjudication,General Contractuals,-
1001,41030,101,530667,General Fund,Adjudication,External Support,"-145,000"
1001,41030,101,550601,General Fund,Adjudication,Printing,"-6,000"
1001,41030,101,550602,General Fund,Adjudication,Membership Dues,-
1001,41030,101,550603,General Fund,Adjudication,Postage,"-55,000"
1001,41030,101,550606,General Fund,Adjudication,Books & Subscriptions,"-1,500"
1001,41030,101,550652,General Fund,Adjudication,Legal Postings and Doc. Fees,"-1,000"
1001,41030,101,550663,General Fund,Adjudication,Software License Updates,"-2,000"
1001,41030,101,560620,General Fund,Adjudication,Office Supplies,"-3,000"
1001,41030,101,570720,General Fund,Adjudication,Computer Equipment,-
1001,41030,134,560639,General Fund,Adjudication,Advertising,-
1001,41020,101,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,"-639,883"
1001,41020,101,510503,General Fund,Village Manager's Office (VMO),Overtime,-500
1001,41020,101,510506,General Fund,Village Manager's Office (VMO),"Equip Allow (Auto,Phone,Tools)","-1,215"
1001,41020,101,520515,General Fund,Village Manager's Office (VMO),Health Insurance Opt-out,-
1001,41020,101,520520,General Fund,Village Manager's Office (VMO),Life Insurance Expense,-372
1001,41020,101,520521,General Fund,Village Manager's Office (VMO),Health Insurance Expense,"-96,624"
1001,41020,101,520522,General Fund,Village Manager's Office (VMO),Social Security Expense,"-32,933"
1001,41020,101,520523,General Fund,Village Manager's Office (VMO),Medicare Expense,"-9,278"
1001,41020,101,520527,General Fund,Village Manager's Office (VMO),IMRF Contributions,"-35,577"
1001,41020,101,560651,General Fund,Village Manager's Office (VMO),Employees Awards Recognition,"-9,000"
1001,41020,101,530650,General Fund,Village Manager's Office (VMO),Conferences Training,"-14,000"
1001,41020,101,530651,General Fund,Village Manager's Office (VMO),Incentives,-
1001,41020,101,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,"-20,000"
1001,41020,103,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,-
1001,41020,321,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,-
1001,41020,332,530662,General Fund,Village Manager's Office (VMO),Boards Commissions Support,-
1001,41020,101,530667,General Fund,Village Manager's Office (VMO),External Support,"-597,716"
1001,41020,101,530687,General Fund,Village Manager's Office (VMO),Township Interventionist Program,-
1001,41020,101,550601,General Fund,Village Manager's Office (VMO),Printing,"-3,000"
1001,41020,101,550602,General Fund,Village Manager's Office (VMO),Membership Dues,"-34,500"
1001,41020,101,550603,General Fund,Village Manager's Office (VMO),Postage,-400
1001,41020,101,550605,General Fund,Village Manager's Office (VMO),Travel & Mileage Reimbursement,-50
1001,41020,101,550606,General Fund,Village Manager's Office (VMO),Books & Subscriptions,-150
1001,41020,101,560616,General Fund,Village Manager's Office (VMO),Toner Cartridges,-
1001,41020,101,560620,General Fund,Village Manager's Office (VMO),Office Supplies,"-4,000"
