Fund ID,Department ID,Program ID,Account ID,Fund,Department,Description,Actuals 2020,Actuals 2021,Estimates 2022,Estimates 2023
1001,41030,101,510501,General Fund,Adjudication,Regular Salaries,"-194,573","-226,653","-237,642","-243,961"
1001,41030,101,510503,General Fund,Adjudication,Overtime,"-7,331","-10,034","-10,000","-10,000"
1001,41030,101,520515,General Fund,Adjudication,Health Insurance Opt Out,‐,‐,‐,‐
1001,41030,101,520520,General Fund,Adjudication,Life Insurance Expense,-247,-281,-283,-279
1001,41030,101,520521,General Fund,Adjudication,Health Insurance Expense,"-38,132","-41,034","-40,913","-47,050"
1001,41030,101,520522,General Fund,Adjudication,Social Security Expense,"-11,318","-13,554","-14,098","-15,746"
1001,41030,101,520523,General Fund,Adjudication,Medicare Expense,"-2,647","-3,170","-3,297","-3,682"
1001,41030,101,520527,General Fund,Adjudication,IMRF Contributions,"-17,877","-19,505","-13,000","-6,670"
1001,41030,101,530650,General Fund,Adjudication,Conferences Training,‐,-125,-500,"-2,000"
1001,41030,101,530658,General Fund,Adjudication,Temporary Services,‐,‐,‐,‐
1001,41030,101,530660,General Fund,Adjudication,General Contractuals,‐,‐,‐,‐
1001,41030,101,530667,General Fund,Adjudication,External Support,"-117,094","-126,975","-145,000","-147,800"
1001,41030,101,550601,General Fund,Adjudication,Printing,-374,-896,"-3,500","-6,000"
1001,41030,101,550602,General Fund,Adjudication,Membership Dues,‐,‐,‐,‐
1001,41030,101,550603,General Fund,Adjudication,Postage,"-17,899","-60,779","-55,000","-74,000"
1001,41030,101,550606,General Fund,Adjudication,Books & Subscriptions,-435,-474,-750,"-1,500"
1001,41030,101,550652,General Fund,Adjudication,Legal Postings and Doc. Fees,-150,-19,-100,"-1,000"
1001,41030,101,550663,General Fund,Adjudication,Software License Updates,"-1,789","-1,650","-2,000","-2,000"
1001,41030,101,560620,General Fund,Adjudication,Office Supplies,"-1,121","-2,242","-2,500","-3,000"
1001,41030,101,570720,General Fund,Adjudication,Computer Equipment,"-1,554",‐,‐,‐
1001,41030,134,560639,General Fund,Adjudication,Advertising,‐,‐,‐,‐
1001,41020,101,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,"-474,911","-539,337","-580,272","-792,680"
1001,41020,201,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,‐,‐,‐,"-238,600"
1001,41020,202,510501,General Fund,Village Manager's Office (VMO),Regular Salaries,‐,‐,‐,"-319,742"
1001,41020,202,510503,General Fund,Village Manager's Office (VMO),Overtime,‐,‐,‐,‐
1001,41020,101,510503,General Fund,Village Manager's Office (VMO),Overtime,-214,-792,-500,-500
1001,41020,101,510506,General Fund,Village Manager's Office (VMO),"Equip Allow (Auto,Phone,Tools)","-1,207",-805,"-1,215","-1,215"
