Fund ID,Department ID,Program ID,Account ID,Fund,Department,Description,Function,Actuals 2013,Actuals 2014,Actuals 2015,Actuals 2016,Actuals 2017,Actuals 2018,Actuals 2019,Actuals 2020,Actuals 2021,Estimates 2022,Estimates 2023,Department Description,Fund Description
1001,41010,101,520520,General Fund,Board of Trustees,Life Insurance Expense,General Government,0,0,23,0,0,0,0,0,69,0,0,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,520521,General Fund,Board of Trustees,Health Insurance Expense,General Government,0,0,0,0,0,0,0,0,356,0,0,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,520522,General Fund,Board of Trustees,Social Security Expense,General Government,3362,3342,3357,3366,4553,4245,6002,6456,6707,7142,7142,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,520523,General Fund,Board of Trustees,Medicare Expense,General Government,786,782,785,787,1065,993,1404,1510,1569,1670,1670,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,520527,General Fund,Board of Trustees,IMRF Contributions,General Government,0,0,0,0,0,0,0,0,416,0,0,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,530667,General Fund,Board of Trustees,External Support,General Government,0,50,0,0,0,0,0,0,21093,9000,0,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,530650,General Fund,Board of Trustees,Conferences Training,General Government,5200,4729,3320,1280,6353,228,3613,155,1176,1500,13000,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,530656,General Fund,Board of Trustees,Grant Contractuals,General Government,0,0,0,0,0,0,0,0,0,0,0,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,530655,General Fund,Board of Trustees,Consultant Fees,General Government,0,0,0,0,0,0,0,0,0,0,3000,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
1001,41010,101,550606,General Fund,Board of Trustees,Books & Subscriptions,General Government,0,204,0,300,0,0,0,0,183,200,300,"The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology."
